#,TITLE,ARTIST,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND,Key
104,...Baby One More Time,Britney Spears,1999-01-12,2026-07-02,93,70,76,-6,91,3:31,20,88,170,4207,5A
160,Clocks,Coldplay,2002-08-27,2026-07-02,131,75,58,-7,26,5:07,60,88,130,3906,3A
105,Complicated,Avril Lavigne,2002-06-04,2026-07-02,78,78,59,-6,43,4:04,6,88,118,4077,7B
146,Don't Stop Believin' (2022 Remaster),Journey,1981-07-17,2026-07-02,119,75,51,-7,51,4:09,13,88,145,8555,12B
136,I'm Still Standing,Elton John,1983-05-30,2026-07-02,177,90,51,-7,77,3:03,36,88,191,1725,6B
103,Nothin' on You (feat. Bruno Mars),B.o.B,2010-04-27,2026-07-02,104,85,69,-6,74,4:28,39,88,117,4169,7B
5,The Way I Are,Timbaland,2007-01-01,2026-07-02,115,81,73,-6,77,2:59,18,88,37,4623,1A
120,The Winner Takes It All,ABBA,1980,2026-07-02,126,79,45,-7,52,4:54,57,88,9,459,3B
101,TiK ToK,Kesha,2010-01-01,2026-07-02,120,84,76,-3,71,3:19,10,88,116,6529,7A
145,Everybody Wants To Rule The World,Tears For Fears,1985-02-25,2026-07-02,112,80,65,-12,54,4:11,35,87,33,7885,10B
161,Fix You,Coldplay,2005-06-07,2026-07-02,138,42,21,-9,12,4:55,16,87,152,3577,5B
24,House Tour,Sabrina Carpenter,2025-08-29,2026-07-02,118,88,77,-5,61,2:49,13,87,54,8382,3B
138,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987-06-02,2026-07-02,119,82,71,-9,87,4:51,21,87,139,2614,3B
107,I Want It That Way,Backstreet Boys,1999-05-18,2026-07-02,99,69,69,-6,48,3:33,26,87,28,6421,11A
124,Like a Prayer,Madonna,1989-03-21,2026-07-02,112,63,66,-12,32,5:40,43,87,177,7560,7B
140,Maneater,Daryl Hall & John Oates,1982-10-04,2026-07-02,89,50,72,-13,82,4:33,4,87,141,2715,10A
118,Maneater,Nelly Furtado,2006-01-01,2026-07-02,133,78,80,-5,79,4:18,3,87,176,3889,3A
123,Piano Man,Billy Joel,1973-11-07,2026-07-02,178,55,33,-6,43,5:39,61,87,124,4367,8B
112,Right Round,Flo Rida,2009-03-23,2026-07-02,125,67,72,-7,71,3:24,1,87,122,2364,8A
109,Rock Your Body,Justin Timberlake,2002-11-04,2026-07-02,101,71,89,-6,82,4:27,20,87,119,6132,9A
125,Running Up That Hill (A Deal With God),Kate Bush,1985-09-16,2026-07-02,108,55,63,-13,19,4:58,72,87,125,9965,5A
106,She Will Be Loved - Radio Mix,Maroon 5,2002,2026-07-02,102,66,65,-6,47,4:19,23,87,173,9274,5B
111,Umbrella,Rihanna,2008-06-02,2026-07-02,174,83,59,-5,58,4:35,1,87,121,9886,3B
66,Despacito,Luis Fonsi,2019-02-01,2026-07-02,178,80,66,-5,84,3:49,20,86,21,4233,10B
141,Don't Dream It's Over,Crowded House,1986-01-01,2026-07-02,82,42,44,-17,55,3:56,1,86,142,1583,5B
13,Feel It Still,Portugal. The Man,2017-06-16,2026-07-02,79,80,80,-5,75,2:43,4,86,45,7137,12A
129,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,2026-07-02,120,49,75,-10,54,4:52,2,86,185,748,7A
