#,TITLE,ARTIST,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND
5,In the Meantime,Spacehog,1995,2026-07-07,168,90,27,-6,16,4:59,8,70,23,6816
28,Inside Out,Eve 6,1998,2026-07-07,176,82,48,-8,69,3:39,11,71,49,4877
51,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,1994-06-07,2026-07-07,171,93,22,-7,49,3:14,0,81,56,2360
114,Iris,The Goo Goo Dolls,1998,2026-07-07,156,72,32,-8,50,4:49,0,95,115,1261
97,It's All Been Done,Barenaked Ladies,1998-07-07,2026-07-07,132,92,52,-3,75,3:26,0,63,108,538
100,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,1987-09-01,2026-07-07,206,89,38,-9,80,4:06,3,71,85,2677
83,Jane Says,Jane's Addiction,1988-08-23,2026-07-07,82,60,40,-9,50,4:47,4,66,75,6555
32,Jumper - 1998 Edit,Third Eye Blind,1997-04-08,2026-07-07,91,54,60,-9,62,4:32,1,76,4,8043
29,Kiss Me,Sixpence None The Richer,1997-11-22,2026-07-07,100,75,53,-7,42,3:28,2,87,50,1135
116,Kryptonite,3 Doors Down,2000,2026-07-07,99,87,55,-6,54,3:53,1,86,105,4479
70,Let Her Cry,Hootie & The Blowfish,1994-07-01,2026-07-07,143,70,35,-6,26,5:18,4,73,98,5951
54,Little Miss Can't Be Wrong,Spin Doctors,1991,2026-07-07,116,90,52,-9,93,3:52,1,60,97,3718
109,Lovefool,The Cardigans,1996-01-01,2026-07-07,112,64,70,-6,89,3:13,3,87,92,3567
46,Lullaby,Shawn Mullins,1998-09-15,2026-07-07,80,73,63,-8,55,5:29,2,57,55,8165
69,Meet Virginia,Train,1998-02-24,2026-07-07,90,55,68,-8,59,3:59,9,66,16,1426
48,Mr. Jones,Counting Crows,1993-09-14,2026-07-07,142,82,58,-7,73,4:32,18,84,2,7382
47,Name,The Goo Goo Dolls,1995,2026-07-07,74,70,46,-6,41,4:30,7,76,28,5999
31,No Rain,Blind Melon,1992-01-01,2026-07-07,148,48,39,-9,57,3:37,62,78,52,2543
16,Not an Addict,K's Choice,2003-09-29,2026-07-07,169,67,26,-7,32,4:48,0,50,34,8200
33,One Headlight,The Wallflowers,1996-01-01,2026-07-07,108,54,70,-9,75,5:12,0,79,53,6759
38,One Week,Barenaked Ladies,1998-07-07,2026-07-07,113,90,70,-6,73,2:49,1,74,7,2050
41,Only Wanna Be With You,Hootie & The Blowfish,1994-07-01,2026-07-07,103,87,49,-6,51,3:49,11,77,11,9562
71,Pinch Me,Barenaked Ladies,2000-09-01,2026-07-07,95,86,68,-4,79,4:45,2,64,62,6213
