Title,Artist,BPM,Energy,Key
Diamond Eyes,Blonde Maze,112,51,4B
He Looked Up,Michael McLean,77,32,8B
I Think About,Blonde Maze,113,64,5B
Floating - Extended Mix,Klur,120,58,3B
Big City Life,Luude,87,90,5B
Good Old Days (feat. Kesha),Macklemore,123,51,4B
Together (il:lo Remix),Panama,114,59,8A
Broken Wings,Mr. Mister,99,50,12A
Fast Talk (Bad Child Remix),Houses,90,51,11B
Fletcher Bay - Instrumental,Harry Pane,172,29,3B
All About to Change,Patrick James,97,63,6B
Corners (KC Lights Remix),Shallou,130,73,12B
Points Beyond,Cubicolor,116,65,8B
See You Later,GRAHAM,88,43,3A
1984,Macklemore,170,63,9A
Fine Day Anthem,Skrillex,138,81,12A
Phone,MEDUZA,130,60,2A
Vibes,Lemi Feels,120,70,8B
Halfway Tree,The East Pointers,114,76,11B
Put It On,Big L,180,62,10A
TRUSTFALL,P!nk,122,89,4B
Hotel Bar,The Tallest Man On Earth,187,35,8B
Draiocht,GAR,123,74,10B
Meu Abrigo,Melim,92,57,5B
The Way,Sultan + Shepard,120,69,4B
Faya,ATTLAS,120,94,6B
Nothing But You (feat. Donnie Sloan & Ricky Ducati),Devault,111,63,2B
Shelter,Luden,123,84,4B
Play Pretend,Alex Sampson,136,49,9B
Whatever,Kygo,108,78,5B
Float,Anabel Englund,121,69,10A
Kashmir (feat. Slash),Escala,79,67,7A
Sens Plus Profond,Coquins,148,33,7B
Tongue Tied - partywithray Remix,Mahalo,122,82,3B
Astray - CRi Remix,CRi,122,77,8B
Another You,BONNIE X CLYDE,122,79,8B
That's What I Get,charlieonnafriday,143,72,3B
Go With Me,Patrick Baker,100,69,9B
We're On Our Way,Radical Face,74,58,9B
Canons,Super Duper,75,78,7B
CUT ME OUT,Rezz,125,74,3B
Everywhere I Go,Wild Rivers,119,65,7B
Like This,Jake Scott,96,33,9B
Austin (Boots Stop Workin'),Dasha,115,67,8B
Leave You,Hotel Garuda,130,74,11B
Living In A Haze,Milky Chance,130,72,3B
Conundrum,EDX,124,78,8B
123,Claire Rosinkranz,92,70,1B
Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia,125,74,5A
Supercut,Lorde,125,44,8B
High Places,Austin Awake,137,55,10B
Tom's Diner (feat. Britney Spears) - Leu Leu Land Remix,Giorgio Moroder,120,73,11B
"World, Hold On - FISHER Rework",Bob Sinclar,127,88,12A
Love Hurt Repeat (feat. Mae Muller),Alle Farben,126,81,12A
with you,dj poolboi,120,69,8B
Basket Case - From 'The Tick' TV Series,Bastille,77,59,3B
Fall with You,Emma McGrath,120,56,3B
drunk on myself,anees,92,60,7B
Wild Feelings,Andrew Rayel,122,89,10B
Paper Hearts (feat. Bailey Jehl),Silver Trees,83,47,3B
Don't You Cry,Sunday Scaries,128,83,6A
